nces_district_id,epa_high_priority,epa_rural_indicator
3408640,Yes,No
3408940,Yes,No
3410320,Yes,No
3411340,Yes,No
3411460,Yes,No
3412030,Yes,No
3412270,Yes,No
3412360,Yes,No
3412540,Yes,No
3412690,Yes,No
3412720,Yes,No
3412840,Yes,No
3412960,Yes,No
3413140,Yes,No
3413200,Yes,No
3413470,Yes,No
3413740,Yes,No
3414550,Yes,No
3414790,Yes,No
3415030,Yes,No
3416290,Yes,No
3416380,Yes,No
3416680,Yes,No
3417580,Yes,No
3417940,Yes,No
3418090,Yes,No
3418150,Yes,No
3418270,Yes,No
3602430,No,No
3602460,Yes,No
3602520,Yes,No
3602820,Yes,No
3602970,Yes,No
3603480,Yes,No
3604350,Yes,Yes
3604370,Yes,No
3604870,Yes,No
3605220,Yes,No
3605610,Yes,No
3605820,Yes,No
3605850,Yes,No
3607050,Yes,No
3607080,No,Yes
3600006,Yes,No
3607710,Yes,Yes
3607980,Yes,No
3632010,Yes,No
3621450,Yes,No
3609390,Yes,No
3609420,Yes,No
3627810,Yes,No
3600003,No,Yes
3610500,Yes,No
3610560,Yes,No
3616560,No,No
3610950,Yes,No
3611070,Yes,Yes
3611370,Yes,No
3611430,Yes,No
3611640,Yes,No
3611700,Yes,No
3600017,Yes,No
3612120,Yes,Yes
3602310,Yes,No
3612270,Yes,No
3612360,Yes,No
3612390,No,No
3612450,Yes,No
3613440,Yes,No
3613560,Yes,No
3613590,Yes,No
3614130,Yes,No
3614220,Yes,No
3614940,Yes,No
3615270,No,Yes
3615330,Yes,Yes
3615630,Yes,No
3600007,Yes,Yes
3615720,No,Yes
3616140,No,Yes
3604758,Yes,No
3616440,Yes,No
3616530,No,Yes
3616740,Yes,No
3616800,Yes,No
3617220,Yes,No
3617670,Yes,No
3617760,No,Yes
3617940,Yes,No
3617970,Yes,No
3618030,Yes,No
3618080,Yes,No
3618090,No,Yes
3618510,No,Yes
3618960,Yes,No
3619740,Yes,No
3619890,Yes,No
3620010,Yes,No
3620730,No,Yes
3620820,Yes,No
3620850,No,No
3621250,Yes,Yes
3621260,Yes,Yes
3621360,Yes,No
3620580,Yes,No
3621630,Yes,No
3621720,Yes,No
3601107,Yes,No
3622050,Yes,No
3680380,Not in SIAPE,Yes
3622260,Yes,No
3622410,Yes,No
3622650,Yes,No
3623070,Yes,No
3623130,No,Yes
3623280,Yes,No
3623520,Yes,No
3623760,Yes,No
3623790,Yes,No
3607440,Not in SIAPE,Yes
3624090,No,Yes
3624120,No,Yes
3624450,Yes,No
3624570,Yes,No
3624750,Yes,No
3624900,Yes,No
3624930,Yes,No
3625020,No,Yes
3625110,No,Yes
3627990,No,Yes
3625440,Yes,No
3625470,Yes,No
3625500,Yes,No
3626010,Yes,No
3603060,No,Yes
